,Unnamed:_0,Unnamed:_0,Unnamed:_0.1,MSHA_ID,Year,Mine_Name,Mine_State,Mine_County,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Coal_Supply_Region,Production_(short_tons),Average_Employees,Labor_Hours,log_production
72,182,182,182,1519584,2013,Sextons Creek Mine,Kentucky (East),Clay,Temporarily closed,Surface,Independent Producer Operator,Mine only,Wilburn & Son,"1741 Old Shiner School Road, Williamsburg, KY 40769", ,Appalachia Central,3188,9,3578,8.067149039910106
73,513,513,513,1800744,2013,No 1 Strip,Maryland,Allegany,Active,Surface,Independent Producer Operator,Mine only,G & S Coal Company Inc,"21557 Maryland Highway, Bloomington, MD 21523", ,Appalachia Northern,3347,2,1320,8.115819701211327
74,261,261,261,1515851,2013,Mine No 1,Kentucky (East),Johnson,Active,Surface,Independent Producer Operator,Mine only,Jordan Construction,"15810 Hwy 32, Blaine, KY 41124", ,Appalachia Central,3402,2,839,8.132118772955806
75,1323,1323,1323,4607334,2013,Meadow Creek Minerals Mine,West Virginia (Southern),Nicholas,Permanently abandoned,Surface,Independent Producer Operator,Mine only,"Meadow Creek Minerals, Llc","P.O. Box 2268, Beckley, WV 25802", ,Appalachia Central,3460,3,3370,8.14902386805177
76,671,671,671,3609194,2013,Auger No. 1,Pennsylvania (Bituminous),Clearfield,Active,Surface,Independent Producer Operator,Mine only,"Ccc Augering, Inc.","P.O. Box 176, Marion Center, PA 15759", ,Appalachia Northern,3464,3,928,8.150179269682326
77,1018,1018,1018,4405411,2013,Beehive,Virginia,Russell,Permanently abandoned,Underground,Independent Producer Operator,Mine only,Omega Mining - Beehive Coal Co,"P.O. Box 1794, Abingdon, VA 24210", ,Appalachia Central,3501,12,2865,8.160803920954665
78,951,951,951,4200079,2013,Emery Mine,Utah,Emery,"Active, men working, not producing",Underground,Independent Producer Operator,Mine only,Consol Mining Company Llc,"P.O. Box 527, Emery, UT 84522", ,Uinta Region,3550,4,7801,8.174702882469461
79,573,573,573,3303737,2013,D. And D. Strip,Ohio,Mahoning,Temporarily closed,Surface,Independent Producer Operator,Mine only,"D. And D. Mining Co., Inc.","3379 East Garfield Road, New Springfie, OH 44443", ,Appalachia Northern,3616,5,9876,8.193123721512068
80,1000,1000,1000,4407012,2013,#1 Strip,Virginia,Dickenson,Active,Surface,Independent Producer Operator,Mine only,"Big D Enterprises, Inc","195 Marigold Lane, Coeburn, VA 24230", ,Appalachia Central,3759,4,1510,8.231908243564177
81,854,854,854,3608985,2013,Lykens #4,Pennsylvania (Anthracite),Schuylkill,Active,Surface,Independent Producer Operator,Mine only,Char-Pac Coal Co Llc,"P.O. Box 81, Minersville, PA 17954", ,Appalachia Northern,3766,2,2720,8.233768709217097
82,517,517,517,1800769,2013,Carlos Surface,Maryland,Allegany,Temporarily closed,Surface,Independent Producer Operator,Mine only,Vindex Energy Corporation,"265 Glass Drive, Mountain Lake, MD 21550", ,Appalachia Northern,3795,2,497,8.24143968982973
83,212,212,212,1519610,2013,Emma Hwm #1,Kentucky (East),Floyd,Active,Surface,Independent Producer Operator,Mine only,Coal Mining Inc.,"439 Meadows Branch, Pestonsburg, KY 41653", ,Appalachia Central,3803,4,1304,8.24354550792826
84,1104,1104,1104,4609070,2013,Boone North No. 2 Surface Mine,West Virginia (Southern),Boone,Active,Surface,Independent Producer Operator,Mine only,"Raven Crest Contracting, Llc","1295 Ashford Hill Road, Ashford, WV 25009", ,Appalachia Central,3861,3,5701,8.258681496264236
85,1288,1288,1288,4608495,2013,Auger #1,West Virginia (Southern),Mingo,Temporarily closed,Surface,Independent Producer Operator,Mine only,J & L Auger Inc,"P.O. Box 4308, Chapmanville, WV 25508", ,Appalachia Central,3901,2,812,8.268988209506656
86,683,683,683,3609609,2013,6 Mile,Pennsylvania (Bituminous),Clearfield,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,J & J Welker,"P.O. Box 21, Woodland, PA 16881", ,Appalachia Northern,3914,2,842,8.272315147956022
87,1434,1434,1434,1519674,2013,Ten Spot,Refuse Recovery,Harlan,Active,Refuse,Independent Producer Operator,Mine only,Csje Corporation,"259 Glenstone Cir, Harrogate, TN 37752", ,Appalachia Central,3946,1,1000,8.28045768658256
